well,sample,wave_length,f_signal_endpoint,experiment,plate
F04,Sample X64,WL493,27547,exp190909,2
F04,Sample X64,WL535,24651,exp190909,2
F05,Sample X65,WL493,28847,exp190909,2
F05,Sample X65,WL535,25003,exp190909,2
F06,Sample X66,WL493,28412,exp190909,2
F06,Sample X66,WL535,24847,exp190909,2
F07,Sample X67,WL493,30361,exp190909,2
F07,Sample X67,WL535,25723,exp190909,2
F08,Sample X68,WL493,26827,exp190909,2
F08,Sample X68,WL535,24646,exp190909,2
F09,Sample X69,WL493,30565,exp190909,2
F09,Sample X69,WL535,25417,exp190909,2
F10,Sample X70,WL493,30218,exp190909,2
F10,Sample X70,WL535,25782,exp190909,2
F11,Sample X71,WL493,32151,exp190909,2
F11,Sample X71,WL535,26342,exp190909,2
F12,Sample X72,WL493,32984,exp190909,2
F12,Sample X72,WL535,27256,exp190909,2
G01,Sample X73,WL493,27296,exp190909,2
G01,Sample X73,WL535,24937,exp190909,2
G02,Sample X74,WL493,33313,exp190909,2
G02,Sample X74,WL535,25868,exp190909,2
G03,Sample X75,WL493,28544,exp190909,2
G03,Sample X75,WL535,25030,exp190909,2
G04,Sample X76,WL493,27114,exp190909,2
G04,Sample X76,WL535,24535,exp190909,2
G05,Sample X77,WL493,30024,exp190909,2
G05,Sample X77,WL535,25223,exp190909,2
G06,Sample X78,WL493,27321,exp190909,2
G06,Sample X78,WL535,24906,exp190909,2
G07,Sample X79,WL493,29677,exp190909,2
G07,Sample X79,WL535,25848,exp190909,2
G08,Sample X80,WL493,27166,exp190909,2
G08,Sample X80,WL535,24794,exp190909,2
G09,Sample X81,WL493,30296,exp190909,2
G09,Sample X81,WL535,25522,exp190909,2
G10,Sample X82,WL493,28527,exp190909,2
G10,Sample X82,WL535,25700,exp190909,2
G11,Sample X83,WL493,30069,exp190909,2
G11,Sample X83,WL535,26128,exp190909,2
G12,Sample X84,WL493,35219,exp190909,2
G12,Sample X84,WL535,27686,exp190909,2
H01,Sample X85,WL493,27153,exp190909,2
H01,Sample X85,WL535,25240,exp190909,2
H02,Sample X86,WL493,26550,exp190909,2
H02,Sample X86,WL535,25155,exp190909,2
H03,Sample X87,WL493,30195,exp190909,2
H03,Sample X87,WL535,25872,exp190909,2
H04,Sample X88,WL493,29578,exp190909,2
H04,Sample X88,WL535,25149,exp190909,2
H05,Sample X89,WL493,28280,exp190909,2
H05,Sample X89,WL535,25368,exp190909,2
H06,Sample X90,WL493,26117,exp190909,2
H06,Sample X90,WL535,24970,exp190909,2
H07,Sample X91,WL493,27295,exp190909,2
H07,Sample X91,WL535,24854,exp190909,2
H08,Sample X92,WL493,26647,exp190909,2
H08,Sample X92,WL535,25548,exp190909,2
H09,Sample X93,WL493,26614,exp190909,2
H09,Sample X93,WL535,25203,exp190909,2
H10,Sample X94,WL493,60751,exp190909,2
H10,Sample X94,WL535,33498,exp190909,2
H11,Sample X95,WL493,67415,exp190909,2
H11,Sample X95,WL535,34878,exp190909,2
H12,Sample X96,WL493,58066,exp190909,2
H12,Sample X96,WL535,31404,exp190909,2
